,material,mcd,x,rox,radii
0,SiO2,7.4074074074074066,2.9266666666666663,-1.2,1.1
1,Fe3O4,2.932551319648094,2.75,-0.239,1.4
2,Ag,0.0,1.93,0.7996,1.6
3,TiO2,5.369127516778524,2.8066666666666666,-0.93,1.4
4,Au,0.0,2.54,1.692,1.35
5,ZnO,2.272727272727273,2.545,-0.7618,1.35
6,Pt,0.0,2.28,1.188,1.35
7,CuO,2.2988505747126435,2.67,0.337,1.35
8,CeO2,3.9603960396039604,2.6666666666666665,-0.87,1.85
9,Co3O4,3.058103975535168,2.7714285714285714,-0.34,1.35
10,MgO,2.3255813953488373,2.375,-2.372,1.5
11,Ni,0.0,1.91,-0.25,1.35
12,Al2O3,4.444444444444444,2.708,-1.663,1.25
13,ZrO2,4.651162790697675,2.736666666666667,-1.45,1.55
14,NiO,2.7027027027027026,2.675,-0.25,1.35
15,Cu,0.0,1.9,0.52,1.35
16,Bi2O3,2.5641025641025643,2.872,0.308,1.6
17,C,0.0,2.55,0.0,0.7
18,CaHCO3,2.193,2.678333,0.0,1.8
