,normal_cell,cancer_cell,test,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),fitness
0,1.0,20.0,9.0,0.23404255319148934,0.08781192988245617,0.04906771344455349,0.8180722891566266,0.7735595425748385
1,76.0,10.0,1.0,0.7446808510638298,0.018061886288678927,1.0,0.7650428442929507,0.7678472715078812
2,76.0,10.0,7.0,0.48936170212765956,0.075,0.0047370220247106515,0.7575628461866211,0.7640059746371171
3,7.0,15.0,14.0,0.23404255319148934,0.4687466796667479,0.041171259383596774,0.5092777334397446,0.7620155459858591
4,2.0,20.0,9.0,0.19148936170212766,0.39999999999999997,0.03451652386780906,0.5096929824561403,0.757347587372667
5,2.0,15.0,10.0,0.23404255319148934,0.46875,0.08182648401826483,0.5077167766258248,0.7450826945761629
6,3.0,50.0,9.0,0.23404255319148934,0.39999999999999997,0.2218586707037164,0.4675438596491227,0.7419317378064725
7,72.0,5.0,5.0,0.7446808510638298,0.15,1.0,0.7659711075441412,0.73659035835421
8,76.0,10.0,7.0,0.48936170212765956,0.046875,0.0014655593551538837,0.755566265060241,0.7335400049991676
9,72.0,10.0,8.0,0.48936170212765956,0.07499942187463866,0.0047370220247106515,0.7575628461866211,0.7287853483218721
10,2.0,50.0,9.0,0.23404255319148934,0.5333333333333333,0.36553206036040436,0.4675438596491227,0.7287680153884677
11,1.0,20.0,9.0,0.23404255319148934,0.19756250000000003,0.04906771344455349,0.8180722891566266,0.7265954999964237
12,74.0,10.0,4.0,0.9999999999999999,0.13333333333333333,0.49887133182844234,0.7741657077100114,0.7143598753423597
13,74.0,10.0,2.0,0.23404255319148934,0.08781192988245617,0.04527030326708014,0.702938596491228,0.7141153956918821
14,2.0,50.0,9.0,0.19148936170212766,0.15,0.16276798359134642,0.4561403508771929,0.7115511101890181
15,2.0,15.0,9.0,0.19148936170212766,0.44443750000000004,0.07222737705718611,0.4912280701754385,0.7110159410811577
16,76.0,20.0,9.0,0.23404255319148934,0.08781192988245617,0.041171259383596774,0.8240223463687151,0.6973530969747362
17,2.0,50.0,10.0,0.23404255319148934,0.39999999999999997,0.05622113365990203,0.48543389704974704,0.6940306572245197
18,72.0,20.0,9.0,0.23404255319148934,0.15,1.0,0.7659711075441412,0.6923023896652402
19,27.0,10.0,1.0,0.48936170212765956,0.075,0.06146645865834634,0.9338477851083884,0.6920698002743834
20,76.0,5.0,7.0,0.7446808510638298,0.08781192988245617,0.5971368266495366,0.7711492418196328,0.6789902206593382
21,76.0,10.0,3.0,0.23404255319148934,0.037466024977349986,0.055932835820895525,0.7145093945720251,0.6725539739407514
