,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
0,PC12,MTT,SiO2,12,1.95,113.67,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
1,PC12,MTT,SiO2,12,3.9,97.265,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
2,PC12,MTT,SiO2,12,7.8,108.73,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
3,PC12,MTT,SiO2,12,15.6,98.451,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
4,PC12,MTT,SiO2,12,31.2,98.056,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
5,PC12,MTT,SiO2,12,62.5,100.43,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
6,PC12,MTT,SiO2,12,125.0,95.881,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
7,PC12,MTT,SiO2,12,250.0,79.473,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
8,PC12,MTT,SiO2,12,500.0,94.893,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
9,PC12,MTT,SiO2,12,1000.0,79.275,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
10,PC12,MTT,SiO2,24,1.95,105.21,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
11,PC12,MTT,SiO2,24,3.9,120.85,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
12,PC12,MTT,SiO2,24,7.8,117.25,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
13,PC12,MTT,SiO2,24,15.6,106.06,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
14,PC12,MTT,SiO2,24,31.2,84.93,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
15,PC12,MTT,SiO2,24,62.5,96.127,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
16,PC12,MTT,SiO2,24,125.0,94.225,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
17,PC12,MTT,SiO2,24,250.0,103.94,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
18,PC12,MTT,SiO2,24,500.0,79.014,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
19,PC12,MTT,SiO2,24,1000.0,63.803,386.9,-35.9,7.4074074074074066,2.9266666666666663,-1.2,1.1
